Lahan Parkir,Kamar Tidur,Kamar Mandi,Luas Bangunan,Luas Tanah,Harga,Harga (Juta Rupiah)
0.0,4.0,1.0,190.0,60.0,468000000,468.0
1.0,1.0,2.0,135.0,98.0,1750000000,1750.0
0.0,3.0,2.0,60.0,100.0,950000000,950.0
0.0,3.0,2.0,60.0,100.0,950000000,950.0
2.0,4.0,3.0,202.0,109.0,1985000000,1985.0
2.0,4.0,2.0,85.0,92.0,980000000,980.0
1.0,3.0,2.0,68.0,90.0,772000000,772.0
1.0,3.0,2.0,70.0,99.0,850000000,850.0
1.0,3.0,2.0,80.0,150.0,1500000000,1500.0
1.0,3.0,1.0,92.0,141.0,1350000000,1350.0
1.0,2.0,1.0,80.0,150.0,1500000000,1500.0
1.0,4.0,2.0,180.0,90.0,975000000,975.0
1.0,2.0,1.0,36.0,93.0,566450000,566.45
0.0,3.0,2.0,59.0,73.0,629999000,630.0
0.0,5.0,4.0,200.0,133.0,1250000000,1250.0
0.0,8.0,2.0,300.0,200.0,3500000000,3500.0
1.0,3.0,2.0,122.0,187.0,1300000000,1300.0
0.0,5.0,3.0,145.0,105.0,1150000000,1150.0
