,Kamar Tidur,Kamar Mandi,Luas Bangunan,Luas Tanah,Harga
509,4.0,4.0,96.0,144.0,1190000000
510,4.0,3.0,202.0,109.0,1980000000
511,4.0,2.0,70.0,180.0,1550000000
512,4.0,2.0,70.0,180.0,1550000000
513,2.0,1.0,60.0,98.0,975000000
515,4.0,1.0,190.0,60.0,468000000
517,1.0,2.0,135.0,98.0,1750000000
518,3.0,2.0,60.0,100.0,950000000
519,3.0,2.0,60.0,100.0,950000000
520,4.0,3.0,202.0,109.0,1985000000
521,4.0,2.0,85.0,92.0,980000000
522,3.0,2.0,68.0,90.0,772000000
523,3.0,2.0,70.0,99.0,850000000
524,3.0,2.0,80.0,150.0,1500000000
525,3.0,1.0,92.0,141.0,1350000000
526,2.0,1.0,80.0,150.0,1500000000
527,4.0,2.0,180.0,90.0,975000000
528,2.0,1.0,36.0,93.0,566450000
529,3.0,2.0,59.0,73.0,629999000
530,5.0,4.0,200.0,133.0,1250000000
531,8.0,2.0,300.0,200.0,3500000000
532,3.0,2.0,122.0,187.0,1300000000
533,5.0,3.0,145.0,105.0,1150000000
534,2.0,1.0,101.0,65.0,1200000000
535,3.0,1.0,80.0,150.0,1500000000
536,3.0,2.0,67.0,90.0,772000000
537,3.0,2.0,63.0,90.0,772000000
538,4.0,4.0,140.0,96.0,1200000000
539,2.0,2.0,61.0,72.0,675000000
540,3.0,3.0,160.0,232.0,1650000000
541,2.0,2.0,200.0,100.0,1900000000
542,4.0,3.0,140.0,98.0,2100000000
544,3.0,2.0,175.0,137.0,1200000000
546,4.0,2.0,110.0,92.0,950000000
547,3.0,2.0,90.0,101.0,1600000000
548,4.0,4.0,225.0,135.0,2400000000
549,4.0,2.0,160.0,86.0,890000000
550,2.0,1.0,33.0,68.0,520000000
551,3.0,2.0,50.0,68.0,608000000
552,4.0,2.0,140.0,96.0,1200000000
553,3.0,2.0,90.0,109.0,875000000
554,3.0,2.0,100.0,130.0,1300000000
555,2.0,2.0,100.0,126.0,1100000000
556,3.0,1.0,120.0,72.0,475000000
557,2.0,1.0,75.0,96.0,550000000
559,5.0,5.0,160.0,121.0,1500000000
560,5.0,4.0,200.0,135.0,1350000000
561,3.0,3.0,120.0,188.0,1650000000
562,5.0,4.0,130.0,120.0,1270000000
564,2.0,2.0,56.0,68.0,631000000
565,5.0,4.0,128.0,121.0,1500000000
566,3.0,3.0,100.0,80.0,1350000000
567,3.0,2.0,56.0,72.0,500000000
568,2.0,2.0,61.0,72.0,674999000
569,2.0,2.0,70.0,78.0,1300000000
570,6.0,4.0,245.0,160.0,2500000000
571,3.0,3.0,160.0,122.0,1600000000
572,4.0,4.0,259.0,158.0,2000000000
573,5.0,4.0,200.0,134.0,1250000000
574,3.0,2.0,90.0,135.0,1500000000
575,5.0,2.0,180.0,71.0,950000000
