Kamar Tidur,Kamar Mandi,Luas Bangunan,Luas Tanah,Harga,Harga (Juta Rupiah)
3.0,2.0,100.0,145.0,1400000000,1400.0
3.0,2.0,110.0,111.0,1600000000,1600.0
2.0,1.0,50.0,75.0,645000000,645.0
2.0,1.0,45.0,96.0,699000000,699.0
5.0,4.0,240.0,180.0,2100000000,2100.0
6.0,4.0,240.0,144.0,1600000000,1600.0
2.0,2.0,100.0,128.0,670000000,670.0
3.0,2.0,60.0,63.0,494000000,494.0
3.0,2.0,90.0,70.0,577000000,577.0
2.0,1.0,36.0,91.0,599000000,599.0
2.0,1.0,43.0,74.0,785000000,785.0
4.0,3.0,135.0,100.0,1200000000,1200.0
4.0,3.0,170.0,133.0,1850000000,1850.0
4.0,2.0,124.0,100.0,925000000,925.0
3.0,2.0,137.0,105.0,1400000000,1400.0
5.0,2.0,100.0,187.0,1600000000,1600.0
4.0,3.0,135.0,100.0,1250000000,1250.0
3.0,2.0,75.0,79.0,855000000,855.0
3.0,2.0,215.0,187.0,1420000000,1420.0
3.0,2.0,220.0,147.0,1800000000,1800.0
3.0,2.0,170.0,120.0,1490000000,1490.0
2.0,2.0,60.0,60.0,659000000,659.0
5.0,3.0,170.0,198.0,1500000000,1500.0
3.0,2.0,50.0,60.0,604000000,604.0
3.0,2.0,80.0,120.0,970000000,970.0
4.0,3.0,180.0,224.0,1400000000,1400.0
1.0,1.0,160.0,208.0,1500000000,1500.0
3.0,2.0,120.0,150.0,1250000000,1250.0
2.0,1.0,80.0,120.0,900000000,900.0
4.0,2.0,100.0,65.0,875000000,875.0
1.0,2.0,110.0,150.0,1475000000,1475.0
3.0,2.0,100.0,82.0,1050000000,1050.0
5.0,5.0,285.0,225.0,1850000000,1850.0
